Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073805;0.27021;0.028284;0.0076454;0.0031917;-0.091391;-0.3009;0.28595;0.028526;0.0055492;0.0017342;-0.07135;0.115;0.33;1.175;-0.002;0.022;-0.026;-0.068;-0.009;-0.076;-0.018;0.025;-0.012
5;-0.073825;0.27023;0.028273;0.0078263;0.0031434;-0.091277;-0.30093;0.28596;0.028541;0.005489;0.001832;-0.071358;0.115;0.33;1.175;-0.002;0.022;-0.026;-0.057;-0.01252;-0.076;-0.018;0.024648;-0.012
10;-0.073808;0.27022;0.028241;0.0083675;0.0030808;-0.091263;-0.30089;0.28607;0.02861;0.0048269;0.0024357;-0.071708;0.115;0.33;1.175;-0.002;0.022;-0.026;-0.060872;-0.009;-0.076;-0.018;0.024352;-0.012
15;-0.073809;0.27016;0.028248;0.0079753;0.0031206;-0.091353;-0.30089;0.28606;0.028584;0.0050339;0.0022938;-0.071695;0.104;0.33;1.175;-0.002;0.021352;-0.026;-0.064128;-0.001872;-0.076;-0.018;0.024;-0.012
20;-0.073827;0.27018;0.028251;0.0079419;0.0032235;-0.091501;-0.30091;0.28602;0.02854;0.0053682;0.0018345;-0.071523;0.115;0.32;1.126;-0.002;0.022;-0.026;-0.057;-0.009;-0.125;-0.018;0.024352;-0.012
25;-0.07378;0.27025;0.028275;0.0077955;0.0030616;-0.091208;-0.30093;0.28599;0.028521;0.0054381;0.0017089;-0.071341;0.115;0.33;1.126;-0.002;0.022;-0.026;-0.057;-0.009;-0.076;-0.018;0.025;-0.012
30;-0.073803;0.27023;0.028291;0.0077585;0.003071;-0.091167;-0.30093;0.28598;0.028555;0.0052718;0.0018104;-0.07137;0.12;0.33;1.126;-0.002;0.022;-0.026;-0.057;-0.009;-0.125;-0.018;0.025;-0.012
35;-0.073779;0.27029;0.028305;0.0071972;0.0032031;-0.091168;-0.30092;0.28598;0.028556;0.0052235;0.0017914;-0.071384;0.115;0.33;1.126;-0.002;0.022;-0.026;-0.053128;-0.009;-0.125;-0.018;0.025;-0.012
40;-0.07382;0.27023;0.028269;0.0079583;0.00307;-0.091309;-0.30092;0.28599;0.028557;0.005099;0.0022782;-0.071464;0.115;0.34;1.126;-0.002;0.022;-0.027;-0.057;-0.01252;-0.125;-0.018;0.025;-0.012
45;-0.073803;0.27027;0.028251;0.0079247;0.0032235;-0.091299;-0.30093;0.28601;0.028545;0.0053293;0.0020908;-0.071695;0.115;0.349;1.126;-0.002;0.022;-0.027;-0.057;-0.009;-0.125;-0.018;0.025;-0.012
